2024-05-10 14:09:15.964 | INFO     | agentscope.models:read_model_configs:170 - Load configs for model wrapper: qwen-max, qwen-turbo
2024-05-10 14:09:15.978 | INFO     | agentscope.utils.monitor:_create_monitor_table:396 - Init [monitor_metrics] as the monitor table
2024-05-10 14:09:15.979 | INFO     | agentscope.utils.monitor:_create_monitor_table:397 - Init [monitor_metrics_quota_exceeded] as the monitor trigger
2024-05-10 14:09:15.980 | INFO     | agentscope.utils.monitor:__init__:366 - SqliteMonitor initialization completed at [./runs\run_20240510-140913_zdir60\agentscope.db]
2024-05-10 14:10:03.159 | INFO     | app.services.utils:retrieve_photo_message:65 - 查询条件如下：(Q(**{'user_id': '001'}) & Q(**{'related_photo_id': '66361994e8eb220e315529db'}) & Q(**{'timestamp__gte': datetime.datetime(1, 1, 1, 0, 0)}) & Q(**{'timestamp__lte': datetime.datetime(2024, 5, 10, 14, 10, 3, 159313)}))
2024-05-10 14:10:03.161 | INFO     | app.services.utils:retrieve_photo_message:69 - 查询结果如下：[]
2024-05-10 14:10:03.162 | INFO     | app.api.routes:get_photo_message:66 - retrieved message:[]
2024-05-10 14:10:03.162 | INFO     | app.api.routes:get_photo_message:75 - message list:[]
2024-05-10 14:10:03.162 | ERROR    | app.api.routes:get_photo_message:83 - other exception:Object of type QuerySet is not JSON serializable
2024-05-10 14:10:12.073 | INFO     | app.services.utils:retrieve_photo_message:65 - 查询条件如下：(Q(**{'user_id': '001'}) & Q(**{'related_photo_id': '66361994e8eb220e315529da'}) & Q(**{'timestamp__gte': datetime.datetime(1, 1, 1, 0, 0)}) & Q(**{'timestamp__lte': datetime.datetime(2024, 5, 10, 14, 10, 12, 72763)}))
2024-05-10 14:10:12.076 | INFO     | app.services.utils:retrieve_photo_message:69 - 查询结果如下：[<Message: Message object>, <Message: Message object>, <Message: Message object>, <Message: Message object>, <Message: Message object>, <Message: Message object>, <Message: Message object>]
2024-05-10 14:10:12.076 | INFO     | app.api.routes:get_photo_message:66 - retrieved message:[<Message: Message object>, <Message: Message object>, <Message: Message object>, <Message: Message object>, <Message: Message object>, <Message: Message object>, <Message: Message object>]
2024-05-10 14:10:12.084 | INFO     | app.api.routes:get_photo_message:75 - message list:[{'sender': 'user', 'message_type': 'text', 'content': '老王、老张和老李', 'timestamp': '2024-05-05 22:29:44', 'related_photo_id': '66361994e8eb220e315529da'}, {'sender': 'assistant', 'message_type': 'text', 'content': '有谁参加了这次活动？', 'timestamp': '2024-05-05 22:28:44', 'related_photo_id': '66361994e8eb220e315529da'}, {'sender': 'user', 'message_type': 'text', 'content': '下次我们应该再组织这样的活动。', 'timestamp': '2024-05-05 22:27:44', 'related_photo_id': '66361994e8eb220e315529da'}, {'sender': 'assistant', 'message_type': 'text', 'content': '是啊，音乐加上美食，完美的组合。', 'timestamp': '2024-05-05 22:25:44', 'related_photo_id': '66361994e8eb220e315529da'}, {'sender': 'user', 'message_type': 'text', 'content': '你看那边的音乐小组他们的表演真是太棒了！', 'timestamp': '2024-05-05 22:24:44', 'related_photo_id': '66361994e8eb220e315529da'}, {'sender': 'assistant', 'message_type': 'text', 'content': '确实，久违的聚会让人感觉格外温馨。', 'timestamp': '2024-05-05 22:23:48', 'related_photo_id': '66361994e8eb220e315529da'}, {'sender': 'user', 'message_type': 'text', 'content': '这是一次愉快的聚会', 'timestamp': '2024-05-05 22:23:44', 'related_photo_id': '66361994e8eb220e315529da'}]
2024-05-10 14:10:12.085 | ERROR    | app.api.routes:get_photo_message:83 - other exception:Object of type QuerySet is not JSON serializable
