2024-05-11 18:28:29.039 | INFO     | agentscope.models:read_model_configs:170 - Load configs for model wrapper: qwen-max, qwen-turbo
2024-05-11 18:28:29.053 | INFO     | agentscope.utils.monitor:_create_monitor_table:396 - Init [monitor_metrics] as the monitor table
2024-05-11 18:28:29.053 | INFO     | agentscope.utils.monitor:_create_monitor_table:397 - Init [monitor_metrics_quota_exceeded] as the monitor trigger
2024-05-11 18:28:29.054 | INFO     | agentscope.utils.monitor:__init__:366 - SqliteMonitor initialization completed at [./runs\run_20240511-182825_3kletl\agentscope.db]
2024-05-11 18:29:39.004 | INFO     | app.services.utils:retrieve_photo_message:75 - 查询条件如下：(Q(**{'user_id': '001'}) & Q(**{'related_photo_id': '66361994e8eb220e315529d7'}) & Q(**{'timestamp__gte': datetime.datetime(1, 1, 1, 0, 0)}) & Q(**{'timestamp__lte': datetime.datetime(2024, 5, 11, 18, 29, 39, 4944)}))
2024-05-11 18:29:39.010 | INFO     | app.services.utils:retrieve_photo_message:79 - 查询结果如下：[<Message: Message object>, <Message: Message object>, <Message: Message object>, <Message: Message object>, <Message: Message object>, <Message: Message object>, <Message: Message object>, <Message: Message object>, <Message: Message object>, <Message: Message object>]
2024-05-11 18:29:39.015 | INFO     | app.api.routes:get_photo_message:151 - retrieved message:[<Message: Message object>, <Message: Message object>, <Message: Message object>, <Message: Message object>, <Message: Message object>, <Message: Message object>, <Message: Message object>, <Message: Message object>, <Message: Message object>, <Message: Message object>]
2024-05-11 18:29:39.029 | INFO     | app.api.routes:get_photo_message:160 - message list:[{'sender': 'assistant', 'message_type': 'text', 'content': '温馨的时光总是让人难以忘怀。当您看着这张照片，会有什么样的情绪涌上心头？是怀念，感激，还是对那段旅程的满足感？分享一下您的感受会很有帮助。', 'timestamp': '2024-05-10 22:20:45', 'related_photo_id': '66361994e8eb220e315529d7'}, {'sender': 'user', 'message_type': 'text', 'content': '我们看了很久，感觉非常温馨', 'timestamp': '2024-05-10 22:20:39', 'related_photo_id': '66361994e8eb220e315529d7'}, {'sender': 'assistant', 'message_type': 'text', 'content': '是的，那种生活的节奏感确实让人感到很舒适。你们是否也参与了其中，或者有某个瞬间你们三个人的互动特别温馨，成为了这张照片背后的故事？', 'timestamp': '2024-05-10 22:19:32', 'related_photo_id': '66361994e8eb220e315529d7'}, {'sender': 'user', 'message_type': 'text', 'content': '周围很多人在锻炼身体，感觉非常祥和，有生活气息', 'timestamp': '2024-05-10 22:19:27', 'related_photo_id': '66361994e8eb220e315529d7'}, {'sender': 'assistant', 'message_type': 'text', 'content': '听到这里，我能想象到那种历史与自然和谐共处的场景。你们在拍照的时候，有没有什么特别的对话或者感觉，让这张照片变得不仅仅是风景，而是情感的记录？', 'timestamp': '2024-05-10 22:19:03', 'related_photo_id': '66361994e8eb220e315529d7'}, {'sender': 'user', 'message_type': 'text', 'content': '我们从酒店打车去了天坛，天坛非常漂亮，尤其是建筑，颜色很漂亮。还有回音壁，也很有特色。', 'timestamp': '2024-05-10 22:18:57', 'related_photo_id': '66361994e8eb220e315529d7'}, {'sender': 'assistant', 'message_type': 'text', 'content': '那么，这一定是一段家庭旅行的美好时光。您能否描述一下那天你们是如何到达天坛的，或者在天坛里都做了些什么？是不是有特定的景点或活动让您印象尤为深刻？', 'timestamp': '2024-05-10 22:18:00', 'related_photo_id': '66361994e8eb220e315529d7'}, {'sender': 'user', 'message_type': 'text', 'content': '我和父母一起去的', 'timestamp': '2024-05-10 22:17:55', 'related_photo_id': '66361994e8eb220e315529d7'}, {'sender': 'assistant', 'message_type': 'text', 'content': '很好，那是在一个特别的节日里。您和谁一起去的呢？是家人、朋友还是独自一人？在那个国庆节，你们在北京还有其他难忘的经历吗？', 'timestamp': '2024-05-10 22:17:31', 'related_photo_id': '66361994e8eb220e315529d7'}, {'sender': 'user', 'message_type': 'text', 'content': '这张照片是18年国庆节去北京拍的', 'timestamp': '2024-05-10 22:17:27', 'related_photo_id': '66361994e8eb220e315529d7'}]
2024-05-11 18:29:39.030 | INFO     | app.api.routes:get_photo_message:161 - message json:<Response 4354 bytes [200 OK]>
2024-05-11 18:30:33.316 | INFO     | app.api.routes:send_message:46 - user message added:fMessage object
2024-05-11 18:30:33.317 | INFO     | app.services.utils:retrieve_photo_message:75 - 查询条件如下：(Q(**{'user_id': '001'}) & Q(**{'related_photo_id': '66361994e8eb220e315529d7'}) & Q(**{'timestamp__gte': datetime.datetime(1, 1, 1, 0, 0)}) & Q(**{'timestamp__lte': datetime.datetime(2024, 5, 11, 18, 30, 33, 317640)}))
